intersection_start,intersection_end,intersection_duration
2022-04-09 16:15:06.818485,2022-04-11 04:45:06.596584,1 days 12:29:59.778099
2022-04-11 04:54:06.443432,2022-04-11 08:00:06.689154,0 days 03:06:00.245722
2022-04-11 19:14:06.603195,2022-04-12 04:45:06.556472,0 days 09:30:59.953277
2022-04-12 11:00:06.455916,2022-04-12 17:41:07.153374,0 days 06:41:00.697458
2022-04-12 19:16:06.928456,2022-04-13 04:45:06.669153,0 days 09:28:59.740697
2022-04-13 08:53:06.454633,2022-04-14 04:45:06.459325,0 days 19:52:00.004692
2022-04-14 05:33:06.605766,2022-04-18 04:45:06.998368,3 days 23:12:00.392602
2022-04-18 19:16:06.356424,2022-04-19 04:45:06.474587,0 days 09:29:00.118163
2022-04-19 08:34:07.141565,2022-04-19 16:42:06.389207,0 days 08:07:59.247642
2022-04-19 18:33:06.514339,2022-04-20 04:45:06.851914,0 days 10:12:00.337575
2022-04-20 07:52:06.767943,2022-04-21 04:44:06.769130,0 days 20:52:00.001187
2022-04-21 07:26:07.000780,2022-04-22 04:44:07.176789,0 days 21:18:00.176009
2022-04-22 09:56:06.892427,2022-04-23 04:44:06.304266,0 days 18:47:59.411839
2022-04-23 05:29:07.129724,2022-05-25 12:21:06.536949,32 days 06:51:59.407225
2022-05-25 12:22:07.245134,2022-05-25 16:22:06.774256,0 days 03:59:59.529122
2022-05-25 16:23:06.460178,2022-06-07 06:49:07.072653,12 days 14:26:00.612475
2022-06-07 06:50:06.590377,2022-06-07 16:21:06.616181,0 days 09:31:00.025804
2022-06-07 16:22:07.120308,2022-06-08 10:49:06.730318,0 days 18:26:59.610010
2022-06-08 10:50:06.192494,2022-06-10 12:49:06.959098,2 days 01:59:00.766604
2022-06-10 12:50:06.444359,2022-06-15 11:02:07.227846,4 days 22:12:00.783487
2022-06-15 11:03:06.812287,2022-06-15 13:10:06.639553,0 days 02:06:59.827266
2022-06-15 13:19:06.928001,2022-06-16 13:38:07.093832,1 days 00:19:00.165831
2022-06-16 13:40:07.019954,2022-06-16 16:50:07.076823,0 days 03:10:00.056869
2022-06-16 16:51:06.653954,2022-06-24 15:45:06.960066,7 days 22:54:00.306112
2022-06-24 17:27:07.010042,2022-06-24 23:07:06.424278,0 days 05:39:59.414236
2022-06-24 23:08:07.075239,2022-06-25 04:56:07.072927,0 days 05:47:59.997688
2022-06-25 04:57:06.719876,2022-06-25 07:04:06.831052,0 days 02:07:00.111176
2022-06-25 13:38:06.814273,2022-06-25 15:08:06.624244,0 days 01:29:59.809971
2022-06-25 15:18:06.793354,2022-06-25 20:38:06.239498,0 days 05:19:59.446144
2022-06-25 20:48:06.624072,2022-06-26 01:33:07.235024,0 days 04:45:00.610952
2022-06-26 01:34:06.632711,2022-06-26 04:11:06.873760,0 days 02:37:00.241049
2022-06-26 04:12:06.335680,2022-06-26 05:50:06.979226,0 days 01:38:00.643546
2022-06-26 06:00:06.763141,2022-07-02 15:09:06.639127,6 days 09:08:59.875986
2022-07-02 15:10:06.459963,2022-07-06 12:19:07.802261,3 days 21:09:01.342298
